partida,mercado,aposta,odd_fech,captured_iso,kickoff_iso
HJK Helsinki vs FC Inter Turku,totals,Over 2.5,1.9497,2026-06-17T14:08:48.855343+00:00,2026-06-17T15:00:00Z
Ilves Tampere vs Jaro,totals,Over 2.5,1.5806,2026-06-17T14:08:48.855343+00:00,2026-06-17T15:00:00Z
TPS Turku vs KuPS Kuopio,totals,Over 2.5,1.9354,2026-06-17T14:08:48.855343+00:00,2026-06-17T15:00:00Z
IF Gnistan vs FC Lahti,totals,Over 2.5,1.6946,2026-06-17T17:26:04.382226+00:00,2026-06-17T18:00:00Z
SJK Seinäjoki vs VPS Vaasa,totals,Over 2.5,1.8932,2026-06-17T17:26:04.382226+00:00,2026-06-17T18:00:00Z
England vs Croatia,totals,Under 2.5,1.9216,2026-06-17T19:38:24.467348+00:00,2026-06-17T20:00:00Z
Ghana vs Panama,totals,Under 2.5,1.6526,2026-06-17T21:46:22.851599+00:00,2026-06-17T23:00:00Z
Uzbekistan vs Colombia,totals,Under 2.5,2.5417,2026-06-18T02:05:15.641920+00:00,2026-06-18T02:00:00Z
